cohort,pool,n_held_out,n_cells_mature,candidate,null_rejection,null_rejection_mcse,null_stream_min,null_stream_max,null_abstention_rate,null_median_width,n_scored_null,discrimination,discrimination_mcse,draw_reference_inclusion,draw_reference_inclusion_mcse,alt_abstention_rate,alt_median_width,n_scored_alt,width_ratio_vs_percentile,baseline_discrimination,source_verdict,interval_object
kul3,pooled,2,5,bca,0.718,0.010061709596286309,0.705,0.7425,0.0,1.8905410490105163,2000,0.79,0.00910768905925098,0.381,0.010859074546203282,0.0,1.8028880968870298,2000,1.072559925402122,0.794,fails_null,within_patient_over_cells
kul3,pooled,2,5,patient_cluster,0.771780303030303,0.012914911912261505,0.7339449541284404,0.8215962441314554,0.472,1.1184452418741215,1056,0.8092540132200189,0.01207319334133807,0.3267233238904627,0.014412485194347,0.4705,1.025796172230434,1059,0.6345271084268286,0.794,fails_null,within_patient_over_cells
kul3,pooled,2,5,percentile,0.7225,0.010012336140981284,0.7125,0.7475,0.0,1.7626437499999996,2000,0.794,0.009043340090917736,0.5065,0.01117939510885987,0.0,1.6907374999999987,2000,1.0,0.794,fails_null,within_patient_over_cells
kul3,pooled,2,5,pseudobulk_patient_t,0.15625,0.011173389717721785,0.1320754716981132,0.18571428571428572,0.472,11.507106091259885,1056,0.16902738432483475,0.011516590146628453,0.9235127478753541,0.008167102321370209,0.4705,10.262274706878774,1059,6.528322068063889,0.794,fails_null,within_patient_over_cells
kul3,pooled,2,5,studentised,0.7085,0.010161883437631037,0.69,0.7425,0.0,2.055386968563943,2000,0.788,0.009139365404665686,0.416,0.011021433663548495,0.0,1.9892325208467474,2000,1.1660818974701743,0.794,fails_null,within_patient_over_cells
kul3,pooled,2,5,welch_t,0.7005,0.01024206400097168,0.6875,0.73,0.0,1.8347631462332274,2000,0.7825,0.00922479674572833,0.644,0.010706633457814833,0.0,1.722705135482261,2000,1.0409154692961795,0.794,fails_null,within_patient_over_cells
kul3,pooled,2,50,bca,0.328,0.01049799980948752,0.295,0.345,0.0,3.652955851881843,2000,0.474,0.011165213835838524,0.8025,0.00890207138816579,0.0,2.4176063129907988,2000,1.1384069672974684,0.495,fails_null,within_patient_over_cells
kul3,pooled,2,50,patient_cluster,0.4689138576779026,0.013658040168343977,0.45229681978798586,0.5075757575757576,0.3325,2.2970686913185006,1335,0.6096256684491979,0.013483493369417926,0.6187929717341482,0.013424042313876398,0.3455,1.6142671779886717,1309,0.7158583647296821,0.495,fails_null,within_patient_over_cells
kul3,pooled,2,50,percentile,0.3175,0.010408980497627998,0.29,0.3425,0.0,3.2088312499999985,2000,0.495,0.01117978085652845,0.8895,0.007010340576605391,0.0,2.2552062500000005,2000,1.0,0.495,fails_null,within_patient_over_cells
kul3,pooled,2,50,pseudobulk_patient_t,0.06292134831460675,0.006645786716357204,0.048507462686567165,0.08139534883720931,0.3325,22.345077000658627,1335,0.08021390374331551,0.007507553282831622,0.961038961038961,0.005348302201930485,0.3455,14.412254005327114,1309,6.963618607447381,0.495,passes_by_abstention,within_patient_over_cells
