cohort,pool,n_held_out,n_cells_mature,shift,candidate,seed_stream,n_attempted,n_scored,n_abstained,n_excludes_zero,n_covered,excludes_zero_rate,coverage,median_ci_width,n_normal,n_tumour,n_replicates,n_pool_undefined,null_rejection,null_rejection_mcse,pool_mean,pool_var,pool_skew,pool_form,skew_matched,closed_form_floor
smc,reference,2,50,1.0,bca,4,400.0,400,0.0,36.0,364.0,0.09,0.91,10.320333175558794,,,,,,,,,,,,
smc,reference,2,50,1.0,welch_t,4,400.0,400,0.0,39.0,361.0,0.0975,0.9025,10.091618455044976,,,,,,,,,,,,
smc,reference,2,50,1.0,patient_cluster,4,400.0,395,5.0,47.0,348.0,0.1189873417721519,0.8810126582278481,15.741632709305302,,,,,,,,,,,,
smc,reference,2,50,1.0,pseudobulk_patient_t,4,400.0,395,5.0,6.0,389.0,0.015189873417721518,0.9848101265822785,49.48833450930115,,,,,,,,,,,,
smc,reference,2,50,0.5,percentile,4,400.0,400,0.0,298.0,377.0,0.745,0.9425,5.4660375000000005,,,,,,,,,,,,
smc,reference,2,50,0.5,studentised,4,400.0,400,0.0,258.0,377.0,0.645,0.9425,5.953837192367349,,,,,,,,,,,,
smc,reference,2,50,0.5,bca,4,400.0,400,0.0,270.0,373.0,0.675,0.9325,5.69413812384782,,,,,,,,,,,,
smc,reference,2,50,0.5,welch_t,4,400.0,400,0.0,308.0,378.0,0.77,0.945,5.590802516617053,,,,,,,,,,,,
smc,reference,2,50,0.5,patient_cluster,4,400.0,397,3.0,148.0,369.0,0.37279596977329976,0.929471032745592,12.120824016370715,,,,,,,,,,,,
smc,reference,2,50,0.5,pseudobulk_patient_t,4,400.0,397,3.0,28.0,388.0,0.07052896725440806,0.9773299748110831,50.633062302819596,,,,,,,,,,,,
smc,reference,2,100,1.0,percentile,4,400.0,400,0.0,30.0,370.0,0.075,0.925,7.37939375,,,,,,,,,,,,
smc,reference,2,100,1.0,studentised,4,400.0,400,0.0,21.0,379.0,0.0525,0.9475,8.135534626570383,,,,,,,,,,,,
smc,reference,2,100,1.0,bca,4,400.0,400,0.0,25.0,375.0,0.0625,0.9375,7.643316861928541,,,,,,,,,,,,
smc,reference,2,100,1.0,welch_t,4,400.0,400,0.0,29.0,371.0,0.0725,0.9275,7.522217084645872,,,,,,,,,,,,
smc,reference,2,100,1.0,patient_cluster,4,400.0,399,1.0,34.0,365.0,0.08521303258145363,0.9147869674185464,15.605599428090871,,,,,,,,,,,,
smc,reference,2,100,1.0,pseudobulk_patient_t,4,400.0,399,1.0,17.0,382.0,0.042606516290726815,0.9573934837092731,37.79492987216737,,,,,,,,,,,,
smc,reference,5,800,1.0,percentile,3,400.0,400,0.0,15.0,385.0,0.0375,0.9625,4.026724999999999,,,,,,,,,,,,
smc,reference,5,800,1.0,patient_cluster,3,400.0,400,0.0,0.0,400.0,0.0,1.0,22.036852320577367,,,,,,,,,,,,
smc,reference,5,800,1.0,pseudobulk_patient_t,3,400.0,400,0.0,15.0,385.0,0.0375,0.9625,6.620205391271851,,,,,,,,,,,,
