cohort,pool,n_cells_mature,shift,comparison,metric,n_pairs,difference,mc_se
kul3,reference,50,0.5,welch_minus_percentile2000,rejection,2000,0.023,0.0034265683541033687
kul3,reference,50,1.0,percentile200_minus_percentile2000,coverage,2000,-0.005,0.003315568804632038
kul3,reference,50,1.0,percentile200_minus_percentile2000,rejection,2000,0.005,0.003315568804632038
kul3,reference,50,1.0,bca2000_minus_percentile2000,coverage,2000,0.012,0.004789516649398708
kul3,reference,50,1.0,bca2000_minus_percentile2000,rejection,2000,-0.012,0.004789516649398708
kul3,reference,50,1.0,bootstrap_t2000_minus_percentile2000,coverage,2000,0.0205,0.0042483996339474535
kul3,reference,50,1.0,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.0205,0.0042483996339474535
kul3,reference,50,1.0,welch_minus_percentile2000,coverage,2000,-0.004,0.0029148324349886788
kul3,reference,50,1.0,welch_minus_percentile2000,rejection,2000,0.004,0.0029148324349886788
smc,pooled,30,0.5,percentile200_minus_percentile2000,coverage,2000,-0.0155,0.0035547423389815863
smc,pooled,30,0.5,percentile200_minus_percentile2000,rejection,2000,0.01,0.0031551509454769947
smc,pooled,30,0.5,bca2000_minus_percentile2000,coverage,2000,-0.046,0.005094602780270937
smc,pooled,30,0.5,bca2000_minus_percentile2000,rejection,2000,-0.047,0.005282939970070044
smc,pooled,30,0.5,bootstrap_t2000_minus_percentile2000,coverage,2000,-0.024,0.004027419776361474
smc,pooled,30,0.5,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.046,0.005287341296813975
smc,pooled,30,0.5,welch_minus_percentile2000,coverage,2000,0.0225,0.003873548397605779
smc,pooled,30,0.5,welch_minus_percentile2000,rejection,2000,0.0045,0.0037076607684882784
smc,pooled,30,1.0,percentile200_minus_percentile2000,coverage,2000,-0.001,0.0025500492888742054
smc,pooled,30,1.0,percentile200_minus_percentile2000,rejection,2000,0.001,0.0025500492888742054
smc,pooled,30,1.0,bca2000_minus_percentile2000,coverage,2000,0.014,0.005041300165004742
smc,pooled,30,1.0,bca2000_minus_percentile2000,rejection,2000,-0.014,0.005041300165004742
smc,pooled,30,1.0,bootstrap_t2000_minus_percentile2000,coverage,2000,0.0285,0.004342038881772641
smc,pooled,30,1.0,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.0285,0.004342038881772641
smc,pooled,30,1.0,welch_minus_percentile2000,coverage,2000,0.004,0.0033908330649616504
smc,pooled,30,1.0,welch_minus_percentile2000,rejection,2000,-0.004,0.0033908330649616504
smc,pooled,50,0.5,percentile200_minus_percentile2000,coverage,2000,-0.0065,0.0032763153268665288
smc,pooled,50,0.5,percentile200_minus_percentile2000,rejection,2000,0.009,0.0039328404006275675
smc,pooled,50,0.5,bca2000_minus_percentile2000,coverage,2000,-0.0475,0.005013426195837588
smc,pooled,50,0.5,bca2000_minus_percentile2000,rejection,2000,-0.0405,0.005142285148479626
smc,pooled,50,0.5,bootstrap_t2000_minus_percentile2000,coverage,2000,-0.0215,0.0038763885504547978
smc,pooled,50,0.5,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.048,0.005325615559777599
smc,pooled,50,0.5,welch_minus_percentile2000,coverage,2000,0.017,0.003370635042583985
smc,pooled,50,0.5,welch_minus_percentile2000,rejection,2000,0.0035,0.004092951395455702
smc,pooled,50,1.0,percentile200_minus_percentile2000,coverage,2000,-0.006,0.003080055741652388
smc,pooled,50,1.0,percentile200_minus_percentile2000,rejection,2000,0.006,0.003080055741652388
smc,pooled,50,1.0,bca2000_minus_percentile2000,coverage,2000,0.006,0.0047427045684199694
smc,pooled,50,1.0,bca2000_minus_percentile2000,rejection,2000,-0.006,0.0047427045684199694
smc,pooled,50,1.0,bootstrap_t2000_minus_percentile2000,coverage,2000,0.0145,0.004260745471861466
smc,pooled,50,1.0,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.0145,0.004260745471861466
smc,pooled,50,1.0,welch_minus_percentile2000,coverage,2000,0.0025,0.0032018746072418653
smc,pooled,50,1.0,welch_minus_percentile2000,rejection,2000,-0.0025,0.0032018746072418653
smc,reference,30,0.5,percentile200_minus_percentile2000,coverage,2000,-0.0095,0.00319530593057926
smc,reference,30,0.5,percentile200_minus_percentile2000,rejection,2000,0.0085,0.0037710721940512324
smc,reference,30,0.5,bca2000_minus_percentile2000,coverage,2000,-0.002,0.004000750304817928
