cohort,pool,n_cells_mature,shift,method,seed,n_attempted,n_valid,n_covered,n_rejected
kul3,pooled,50,1.0,bca2000,202609171,400,400,264,136
kul3,pooled,50,1.0,bca2000,202609172,400,400,271,129
kul3,pooled,50,1.0,bca2000,202609173,400,400,266,134
kul3,pooled,50,1.0,bca2000,202609174,400,400,281,119
kul3,pooled,50,1.0,bootstrap_t2000,202609170,400,400,274,126
kul3,pooled,50,1.0,bootstrap_t2000,202609171,400,400,268,132
kul3,pooled,50,1.0,bootstrap_t2000,202609172,400,400,271,129
kul3,pooled,50,1.0,bootstrap_t2000,202609173,400,400,269,131
kul3,pooled,50,1.0,bootstrap_t2000,202609174,400,400,282,118
kul3,pooled,50,1.0,welch,202609170,400,400,276,124
kul3,pooled,50,1.0,welch,202609171,400,400,273,127
kul3,pooled,50,1.0,welch,202609172,400,400,277,123
kul3,pooled,50,1.0,welch,202609173,400,400,276,124
kul3,pooled,50,1.0,welch,202609174,400,400,284,116
kul3,reference,30,0.5,percentile200,202609170,400,400,315,207
kul3,reference,30,0.5,percentile200,202609171,400,400,317,195
kul3,reference,30,0.5,percentile200,202609172,400,400,315,194
kul3,reference,30,0.5,percentile200,202609173,400,400,316,178
kul3,reference,30,0.5,percentile200,202609174,400,400,313,196
kul3,reference,30,0.5,percentile2000,202609170,400,400,319,205
kul3,reference,30,0.5,percentile2000,202609171,400,400,318,191
kul3,reference,30,0.5,percentile2000,202609172,400,400,314,192
kul3,reference,30,0.5,percentile2000,202609173,400,400,316,178
kul3,reference,30,0.5,percentile2000,202609174,400,400,320,192
kul3,reference,30,0.5,bca2000,202609170,400,400,307,175
kul3,reference,30,0.5,bca2000,202609171,400,400,311,161
kul3,reference,30,0.5,bca2000,202609172,400,400,311,171
kul3,reference,30,0.5,bca2000,202609173,400,400,308,160
kul3,reference,30,0.5,bca2000,202609174,400,400,309,176
kul3,reference,30,0.5,bootstrap_t2000,202609170,400,400,311,177
kul3,reference,30,0.5,bootstrap_t2000,202609171,400,400,317,167
kul3,reference,30,0.5,bootstrap_t2000,202609172,400,400,313,174
kul3,reference,30,0.5,bootstrap_t2000,202609173,400,400,313,160
kul3,reference,30,0.5,bootstrap_t2000,202609174,400,400,313,181
kul3,reference,30,0.5,welch,202609170,400,400,323,209
kul3,reference,30,0.5,welch,202609171,400,400,324,200
kul3,reference,30,0.5,welch,202609172,400,400,314,201
kul3,reference,30,0.5,welch,202609173,400,400,322,184
kul3,reference,30,0.5,welch,202609174,400,400,327,200
kul3,reference,30,1.0,percentile200,202609170,400,400,302,98
kul3,reference,30,1.0,percentile200,202609171,400,400,303,97
kul3,reference,30,1.0,percentile200,202609172,400,400,286,114
kul3,reference,30,1.0,percentile200,202609173,400,400,293,107
kul3,reference,30,1.0,percentile200,202609174,400,400,291,109
kul3,reference,30,1.0,percentile2000,202609170,400,400,301,99
kul3,reference,30,1.0,percentile2000,202609171,400,400,309,91
kul3,reference,30,1.0,percentile2000,202609172,400,400,287,113
kul3,reference,30,1.0,percentile2000,202609173,400,400,298,102
kul3,reference,30,1.0,percentile2000,202609174,400,400,291,109
kul3,reference,30,1.0,bca2000,202609170,400,400,310,90
kul3,reference,30,1.0,bca2000,202609171,400,400,311,89
kul3,reference,30,1.0,bca2000,202609172,400,400,296,104
kul3,reference,30,1.0,bca2000,202609173,400,400,304,96
kul3,reference,30,1.0,bca2000,202609174,400,400,300,100
kul3,reference,30,1.0,bootstrap_t2000,202609170,400,400,311,89
kul3,reference,30,1.0,bootstrap_t2000,202609171,400,400,319,81
kul3,reference,30,1.0,bootstrap_t2000,202609172,400,400,298,102
kul3,reference,30,1.0,bootstrap_t2000,202609173,400,400,310,90
kul3,reference,30,1.0,bootstrap_t2000,202609174,400,400,305,95
kul3,reference,30,1.0,welch,202609170,400,400,300,100
kul3,reference,30,1.0,welch,202609171,400,400,306,94
kul3,reference,30,1.0,welch,202609172,400,400,285,115
kul3,reference,30,1.0,welch,202609173,400,400,295,105
kul3,reference,30,1.0,welch,202609174,400,400,288,112
kul3,reference,50,0.5,percentile200,202609170,400,400,334,203
kul3,reference,50,0.5,percentile200,202609171,400,400,356,185
kul3,reference,50,0.5,percentile200,202609172,400,400,346,196
kul3,reference,50,0.5,percentile200,202609173,400,400,346,181
kul3,reference,50,0.5,percentile200,202609174,400,400,344,189
kul3,reference,50,0.5,percentile2000,202609170,400,400,339,196
kul3,reference,50,0.5,percentile2000,202609171,400,400,364,171
kul3,reference,50,0.5,percentile2000,202609172,400,400,351,192
kul3,reference,50,0.5,percentile2000,202609173,400,400,348,181
kul3,reference,50,0.5,percentile2000,202609174,400,400,344,191
kul3,reference,50,0.5,bca2000,202609170,400,400,339,163
kul3,reference,50,0.5,bca2000,202609171,400,400,348,151
kul3,reference,50,0.5,bca2000,202609172,400,400,345,169
kul3,reference,50,0.5,bca2000,202609173,400,400,344,149
kul3,reference,50,0.5,bca2000,202609174,400,400,332,158
kul3,reference,50,0.5,bootstrap_t2000,202609170,400,400,337,166
kul3,reference,50,0.5,bootstrap_t2000,202609171,400,400,356,155
kul3,reference,50,0.5,bootstrap_t2000,202609172,400,400,347,171
kul3,reference,50,0.5,bootstrap_t2000,202609173,400,400,347,156
kul3,reference,50,0.5,bootstrap_t2000,202609174,400,400,336,164
kul3,reference,50,0.5,welch,202609170,400,400,344,201
kul3,reference,50,0.5,welch,202609171,400,400,366,184
kul3,reference,50,0.5,welch,202609172,400,400,353,202
kul3,reference,50,0.5,welch,202609173,400,400,358,188
kul3,reference,50,0.5,welch,202609174,400,400,354,202
kul3,reference,50,1.0,percentile200,202609170,400,400,324,76
kul3,reference,50,1.0,percentile200,202609171,400,400,330,70
kul3,reference,50,1.0,percentile200,202609172,400,400,327,73
kul3,reference,50,1.0,percentile200,202609173,400,400,322,78
kul3,reference,50,1.0,percentile200,202609174,400,400,324,76
kul3,reference,50,1.0,percentile2000,202609170,400,400,330,70
kul3,reference,50,1.0,percentile2000,202609171,400,400,329,71
kul3,reference,50,1.0,percentile2000,202609172,400,400,333,67
kul3,reference,50,1.0,percentile2000,202609173,400,400,325,75
kul3,reference,50,1.0,percentile2000,202609174,400,400,320,80
kul3,reference,50,1.0,bca2000,202609170,400,400,331,69
kul3,reference,50,1.0,bca2000,202609171,400,400,334,66
kul3,reference,50,1.0,bca2000,202609172,400,400,332,68
kul3,reference,50,1.0,bca2000,202609173,400,400,331,69
kul3,reference,50,1.0,bca2000,202609174,400,400,333,67
kul3,reference,50,1.0,bootstrap_t2000,202609170,400,400,331,69
kul3,reference,50,1.0,bootstrap_t2000,202609171,400,400,339,61
kul3,reference,50,1.0,bootstrap_t2000,202609172,400,400,336,64
kul3,reference,50,1.0,bootstrap_t2000,202609173,400,400,334,66
kul3,reference,50,1.0,bootstrap_t2000,202609174,400,400,338,62
kul3,reference,50,1.0,welch,202609170,400,400,327,73
kul3,reference,50,1.0,welch,202609171,400,400,328,72
kul3,reference,50,1.0,welch,202609172,400,400,330,70
kul3,reference,50,1.0,welch,202609173,400,400,328,72
