n_cells_mature,observed_null_rejection,excess_over_nominal,pp_zero_inflation,pp_skew_given_no_zeros,pp_discreteness_and_higher_moments,pp_non_gaussian_shape_total,pp_fixed_fraction_design,pp_floor_z_vs_t,pp_explained_sequential,pp_residual_unexplained,share_unexplained,rate_empirical,rate_zeros_removed,rate_skew_matched,rate_gaussian,rate_empirical_balanced,cohort,pool,closure_verdict,diagnosis_closes
50,0.318,0.268,0.1915,0.1555,-0.08349999999999999,0.07200000000000001,0.20350000000000001,0.004499999999999997,0.5549999999999999,-0.2869999999999999,-1.0708955223880594,0.318,0.1265,0.21,0.0545,0.1145,kul3,pooled,over_explained,False
800,0.064,0.013999999999999999,0.0175,0.010499999999999995,-0.014499999999999999,-0.0040000000000000036,0.0,0.0005000000000000004,0.028499999999999998,-0.014499999999999999,-1.0357142857142858,0.064,0.0465,0.061,0.0505,0.064,kul3,pooled,over_explained,False
50,0.1695,0.11950000000000001,0.06000000000000001,0.087,-0.03199999999999999,0.055,0.08200000000000002,0.004499999999999997,0.23350000000000004,-0.11400000000000003,-0.9539748953974897,0.1695,0.1095,0.1415,0.0545,0.0875,kul3,reference,over_explained,False
800,0.056,0.005999999999999998,0.005499999999999998,-0.0050000000000000044,0.0050000000000000044,0.0,0.0,0.0005000000000000004,0.000999999999999994,0.0050000000000000044,0.8333333333333343,0.056,0.0505,0.0455,0.0505,0.056,kul3,reference,leaves_most_unexplained,False
50,0.2275,0.1775,0.1395,0.129,-0.0955,0.033499999999999995,0.138,0.004499999999999997,0.41100000000000003,-0.23350000000000004,-1.3154929577464791,0.2275,0.088,0.1835,0.0545,0.0895,smc,pooled,over_explained,False
800,0.0575,0.0075,0.011000000000000003,0.006499999999999999,-0.010500000000000002,-0.0040000000000000036,0.0,0.0005000000000000004,0.018000000000000002,-0.010500000000000002,-1.4000000000000004,0.0575,0.0465,0.057,0.0505,0.0575,smc,pooled,over_explained,False
50,0.097,0.047,0.02600000000000001,0.030500000000000006,-0.014000000000000012,0.016499999999999994,0.022500000000000006,0.004499999999999997,0.08350000000000002,-0.03650000000000002,-0.7765957446808515,0.097,0.071,0.085,0.0545,0.0745,smc,reference,over_explained,False
800,0.0455,-0.004500000000000004,-0.011500000000000003,0.005999999999999998,0.0005000000000000004,0.006499999999999999,0.0,0.0005000000000000004,-0.0050000000000000044,0.0005000000000000004,-0.1111111111111111,0.0455,0.057,0.0565,0.0505,0.0455,smc,reference,no_excess_to_explain,False
