estimator,target_population,reference,n_trial,n_valid,n_excluded,max_residual,equality_flagged,bias,rmse,ratio_median,ratio_q25,ratio_q75,estimate_median,reference_median
ate-ipw,pooled,induced-trial,50,199,1,2.4580289008577667,False,0.8390637344163147,1.0932465017039297,1.8312322757144188,1.414655574619637,2.334111396006578,1.817951854619242,0.97
ate-ipw,pooled,induced-trial,100,200,0,2.560182153199124,False,0.9211604424319647,1.0580370755967823,1.9711523989318462,1.568836212821131,2.2913344113319716,1.9301327397702854,0.97875
ate-ipw,pooled,induced-trial,200,200,0,1.7568003161748549,False,0.8884669255536433,0.9488092779982291,1.924002261939213,1.6890134342699128,2.1447916969159344,1.8791000439128878,0.97
ate-ipw,pooled,induced-trial,400,200,0,1.4973768622906003,False,0.8888485648027412,0.9178071255482497,1.9165225966491795,1.7324381609626691,2.07289506004576,1.8666482257346946,0.9796875
ate-ipw,pooled,induced-trial,800,200,0,1.3724591056303426,False,0.8726380488190069,0.888703660951218,1.8707506333534576,1.7486637346762053,1.9968261814542236,1.8502826041116567,0.98875
ate-ipw,pooled,induced-trial,1600,200,0,1.169305887525732,False,0.8855741266300524,0.8935404175319525,1.8820089930524064,1.7988936943156641,1.9820752626095721,1.8899759663917592,1.003984375
ate-ipw-logistic,pooled,induced-trial,50,199,1,2.4580289008578093,False,0.8390637344163117,1.0932465017039315,1.831232275714384,1.414655574619653,2.334111396006633,1.8179518546192472,0.97
ate-ipw-logistic,pooled,induced-trial,100,200,0,2.560182153199296,False,0.9211604424319836,1.0580370755968032,1.971152398931693,1.5688362128212479,2.2913344113320977,1.9301327397703911,0.97875
ate-ipw-logistic,pooled,induced-trial,200,200,0,1.7568003161748638,False,0.8884669255536456,0.9488092779982312,1.9240022619392088,1.6890134342699286,2.144791696915914,1.8791000439128922,0.97
ate-ipw-logistic,pooled,induced-trial,400,200,0,1.4973768622905559,False,0.8888485648027428,0.9178071255482516,1.9165225966491994,1.732438160962701,2.0728950600457474,1.866648225734675,0.9796875
ate-ipw-logistic,pooled,induced-trial,800,200,0,1.37245910563041,False,0.8726380488189958,0.888703660951208,1.8707506333533932,1.748663734676139,1.996826181454269,1.8502826041116567,0.98875
ate-ipw-logistic,pooled,induced-trial,1600,200,0,1.1693058875257818,False,0.8855741266300348,0.8935404175319347,1.8820089930523531,1.7988936943154792,1.982075262609429,1.8899759663916011,1.003984375
ate-standardisation,pooled,induced-trial,50,199,1,2.4580289008577667,False,0.8390637344163145,1.09324650170393,1.8312322757144206,1.414655574619636,2.3341113960065765,1.8179518546192441,0.97
ate-standardisation,pooled,induced-trial,100,200,0,2.560182153199125,False,0.9211604424319648,1.0580370755967827,1.9711523989318467,1.5688362128211333,2.291334411331972,1.9301327397702877,0.97875
ate-standardisation,pooled,induced-trial,200,200,0,1.756800316174853,False,0.8884669255536433,0.9488092779982291,1.924002261939211,1.6890134342699135,2.1447916969159335,1.8791000439128882,0.97
ate-standardisation,pooled,induced-trial,400,200,0,1.4973768622906003,False,0.8888485648027412,0.9178071255482497,1.916522596649179,1.7324381609626691,2.0728950600457603,1.8666482257346928,0.9796875
ate-standardisation,pooled,induced-trial,800,200,0,1.372459105630343,False,0.872638048819007,0.8887036609512181,1.8707506333534563,1.7486637346762073,1.9968261814542252,1.850282604111658,0.98875
ate-standardisation,pooled,induced-trial,1600,200,0,1.169305887525733,False,0.8855741266300526,0.8935404175319526,1.882008993052405,1.7988936943156641,1.9820752626095715,1.8899759663917588,1.003984375
att-ipw,enrolled,induced-trial,50,199,1,1.9317966865521603,False,-0.02029732017068947,0.608215784682667,0.9985867829672507,0.5630731737490766,1.3972172625457784,0.9753889110617004,0.97
att-ipw,enrolled,induced-trial,100,200,0,1.3785339476160507,False,0.00560047930610673,0.412161440568365,1.0507851725280788,0.7631488674879852,1.258401269271241,1.0323310766198515,0.97875
att-ipw,enrolled,induced-trial,200,200,0,0.8238513105183277,False,-0.01060760592096771,0.3029380902692316,0.9847268825851996,0.7803934172435653,1.1759342359731986,0.9405664218894145,0.97
att-ipw,enrolled,induced-trial,400,200,0,0.6055055652262502,False,-0.0017840771108848053,0.19924293101787796,0.9876268764394143,0.8644553768846964,1.1418180926791293,0.981701280622095,0.9796875
att-ipw,enrolled,induced-trial,800,200,0,0.4287191550178764,False,-0.010650633449284812,0.16140703110413282,0.9707752950227129,0.8892643186717568,1.097038187541557,0.9695347052500409,0.98875
att-ipw,enrolled,induced-trial,1600,200,0,0.2954864964357058,False,0.013718159102205132,0.10534373839594942,1.0161957216973465,0.9479808830546578,1.091464665664612,1.0203809083683963,1.003984375
att-matching-all,enrolled,induced-trial,50,200,0,1.9317966865521596,False,-0.025228400605224327,0.6108536279065568,0.9960762891294117,0.5586376828213583,1.3969539368733046,0.9742645350839279,0.97
att-matching-all,enrolled,induced-trial,100,200,0,1.378533947616051,False,0.005600479306106654,0.412161440568365,1.0507851725280788,0.7631488674879852,1.2584012692712412,1.0323310766198517,0.97875
att-matching-all,enrolled,induced-trial,200,200,0,0.8238513105183277,False,-0.010607605920967624,0.3029380902692315,0.9847268825851991,0.7803934172435648,1.1759342359731995,0.9405664218894156,0.97
att-matching-all,enrolled,induced-trial,400,200,0,0.6055055652262495,False,-0.0017840771108847309,0.19924293101787785,0.9876268764394148,0.8644553768846974,1.1418180926791295,0.981701280622095,0.9796875
att-matching-all,enrolled,induced-trial,800,200,0,0.4287191550178746,False,-0.010650633449284845,0.16140703110413282,0.9707752950227133,0.8892643186717568,1.0970381875415574,0.969534705250041,0.98875
att-matching-all,enrolled,induced-trial,1600,200,0,0.2954864964357058,False,0.01371815910220509,0.10534373839594936,1.0161957216973474,0.9479808830546576,1.0914646656646125,1.020380908368395,1.003984375
att-standardisation,enrolled,induced-trial,50,199,1,1.9317966865521596,False,-0.020297320170689383,0.608215784682667,0.9985867829672509,0.5630731737490762,1.397217262545778,0.9753889110616988,0.97
att-standardisation,enrolled,induced-trial,100,200,0,1.378533947616051,False,0.00560047930610668,0.412161440568365,1.0507851725280788,0.763148867487985,1.2584012692712412,1.0323310766198515,0.97875
att-standardisation,enrolled,induced-trial,200,200,0,0.8238513105183276,False,-0.010607605920967616,0.3029380902692315,0.9847268825851991,0.7803934172435648,1.1759342359731995,0.9405664218894156,0.97
att-standardisation,enrolled,induced-trial,400,200,0,0.6055055652262493,False,-0.001784077110884733,0.19924293101787788,0.9876268764394149,0.8644553768846973,1.141818092679129,0.9817012806220952,0.9796875
att-standardisation,enrolled,induced-trial,800,200,0,0.42871915501787483,False,-0.01065063344928485,0.16140703110413282,0.9707752950227132,0.8892643186717569,1.0970381875415571,0.9695347052500409,0.98875
att-standardisation,enrolled,induced-trial,1600,200,0,0.29548649643570557,False,0.013718159102205085,0.10534373839594935,1.0161957216973474,0.9479808830546576,1.0914646656646125,1.020380908368395,1.003984375
ols-stratum-dummies,variance-weighted,induced-trial,50,200,0,1.7531434652109685,False,0.28894081181864406,0.6443416901801806,1.26194558057936,0.906149555151202,1.70963143039735,1.274842984129877,0.97
